date,open,high,low,close,volume
2024-05-30,67576.81,69520.94,67107.22,68346.19,20828.64
2024-05-31,68346.19,69012.82,66605.09,67482.25,19922.04
2024-06-01,67482.25,67831.31,67383.55,67721.6,4400.74
2024-06-02,67721.6,68409.58,67279.96,67738.74,6731.43
2024-06-03,67738.74,70283.97,67584.62,68799.6,22783.46
2024-06-04,68799.6,71090.99,68553.54,70548.51,29746.55
2024-06-05,70548.51,71782.2,70371.34,71117.68,21737.62
2024-06-06,71117.68,71642.27,70113.83,70772.35,16078.4
2024-06-07,70772.35,71943.4,68439.15,69330.51,28318.21
2024-06-08,69330.51,69547.91,69152.66,69303.58,5753.02
2024-06-09,69303.58,69837.26,69131.01,69639.42,5137.66
2024-06-10,69639.42,70172.0,69166.61,69505.57,12116.49
2024-06-11,69505.57,69550.65,66054.78,67319.41,31800.9
2024-06-12,67319.41,70021.47,66896.79,68247.0,31159.85
2024-06-13,68247.0,68428.43,66224.61,66742.54,23051.5
2024-06-14,66742.54,67317.79,65026.62,66006.13,24684.72
2024-06-15,66006.13,66419.48,65832.26,66188.81,6139.62
2024-06-16,66188.81,66916.83,66012.05,66631.59,6512.06
2024-06-17,66631.59,67264.71,65062.53,66481.73,28974.78
2024-06-18,66481.73,66570.67,64033.69,65158.02,35263.17
2024-06-19,65158.02,65708.56,64656.84,64950.82,13478.88
2024-06-20,64950.82,66462.52,64527.9,64847.89,22559.77
2024-06-21,64847.89,65018.39,63350.87,64119.34,22310.94
2024-06-22,64119.34,64500.0,63924.68,64250.18,5570.5
2024-06-23,64250.18,64504.84,63154.88,63181.02,6504.7
2024-06-24,63181.02,63335.53,58443.98,60270.95,48177.24
2024-06-25,60270.95,62385.37,60232.04,61796.56,31697.13
2024-06-26,61796.56,62471.55,60684.69,60824.43,23423.63
2024-06-27,60824.43,62341.3,60562.27,61630.1,22562.67
2024-06-28,61630.1,62168.03,59907.92,60324.3,24288.31
2024-06-29,60324.3,61129.31,60294.22,60905.3,9214.26
