date,open,high,low,close,volume
2024-07-31,66180.04,66826.66,64508.96,64617.83,24304.84
2024-08-01,64617.83,65590.04,62238.44,65300.21,37045.09
2024-08-02,65300.21,65548.28,61165.12,61422.3,40943.43
2024-08-03,61422.3,62154.66,59838.49,60679.28,26176.07
2024-08-04,60679.28,61075.03,57174.97,58135.89,28092.97
2024-08-05,58135.89,58275.19,49202.81,54031.82,117153.32
2024-08-06,54031.82,57077.92,53987.77,56057.67,44255.76
2024-08-07,56057.67,57753.96,54580.16,55130.45,39691.91
2024-08-08,55130.45,62717.23,54751.57,61708.53,48215.66
2024-08-09,61708.53,61752.64,59573.13,60868.88,32998.38
2024-08-10,60868.88,61478.08,60270.33,60940.82,11935.68
2024-08-11,60940.82,61842.63,58331.17,58725.0,18214.18
2024-08-12,58725.0,60708.39,57677.54,59360.89,33285.38
2024-08-13,59360.89,61603.92,58440.76,60609.73,28787.92
2024-08-14,60609.73,61788.76,58461.76,58698.05,30973.89
2024-08-15,58698.05,59869.57,56132.98,57552.92,34692.53
2024-08-16,57552.92,59851.62,57106.84,58893.67,29186.89
2024-08-17,58893.67,59708.69,58815.46,59497.94,9691.68
2024-08-18,59497.94,60280.79,58433.69,58439.22,13915.75
2024-08-19,58439.22,59632.55,57828.14,59464.41,24222.4
2024-08-20,59464.41,61442.89,58588.82,59027.55,31292.98
2024-08-21,59027.55,61851.26,58806.66,61170.8,38408.34
2024-08-22,61170.8,61426.96,59756.43,60387.29,28924.51
2024-08-23,60387.29,64982.66,60351.28,64087.8,42020.68
2024-08-24,64087.8,64523.11,63591.53,64180.77,15286.56
2024-08-25,64180.77,65058.66,63828.67,64264.62,12753.39
2024-08-26,64264.62,64504.12,62816.08,62850.27,27037.83
2024-08-27,62850.27,63220.85,58045.32,59441.73,39241.27
2024-08-28,59441.73,60232.58,57868.47,59043.5,38043.04
2024-08-29,59043.5,61191.57,58735.81,59369.85,34345.83
2024-08-30,59369.85,59926.33,57725.72,59129.05,35023.22
2024-08-31,59129.05,59456.66,58759.04,58989.17,8035.77
2024-09-01,58989.17,59085.64,57217.94,57313.44,22352.53
2024-09-02,57313.44,59431.04,57135.27,59147.8,23766.29
2024-09-03,59147.8,59825.44,57411.84,57481.84,26568.4
2024-09-04,57481.84,58532.47,55625.58,57975.52,43027.18
2024-09-05,57975.52,58329.93,55651.61,56167.4,38784.5
2024-09-06,56167.4,57004.28,52552.05,53954.33,69521.39
2024-09-07,53954.33,54852.05,53742.58,54167.82,17050.67
2024-09-08,54167.82,55321.44,53631.93,54879.33,19159.79
2024-09-09,54879.33,58005.33,54591.28,57056.31,42637.41
2024-09-10,57056.31,58050.66,56397.36,57642.43,33391.45
2024-09-11,57642.43,58002.86,55554.25,57354.27,55576.26
2024-09-12,57354.27,58573.29,57330.99,58140.61,40914.83
2024-09-13,58140.61,60666.01,57637.58,60548.12,40546.37
2024-09-14,60548.12,60653.12,59433.38,60013.26,15042.25
2024-09-15,60013.26,60409.32,58697.69,59139.21,19176.34
2024-09-16,59139.21,59215.73,57486.82,58210.01,33106.34
2024-09-17,58210.01,61356.68,57624.63,60321.59,40712.51
2024-09-18,60321.59,61794.54,59185.2,61775.68,48151.29
2024-09-19,61775.68,63881.87,61582.28,62963.41,46829.96
2024-09-20,62963.41,64131.22,62345.57,63211.47,34617.55
2024-09-21,63211.47,63548.08,62767.25,63363.17,12142.67
2024-09-22,63363.17,64015.58,62394.47,63587.45,18884.06
2024-09-23,63587.45,64749.32,62584.5,63341.97,27280.27
2024-09-24,63341.97,64698.02,62710.48,64276.65,32160.64
2024-09-25,64276.65,64823.35,62938.97,63144.83,23967.21
2024-09-26,63144.83,65861.15,62660.36,65183.68,43302.56
2024-09-27,65183.68,66547.69,64839.11,65790.28,36162.6
2024-09-28,65790.28,66267.41,65442.19,65868.67,10383.49
2024-09-29,65868.67,66081.97,65440.3,65611.98,11532.92
2024-09-30,65611.98,65627.43,62846.03,63314.81,42396.01
2024-10-01,63314.81,64112.99,60156.13,60790.06,67326.52
2024-10-02,60790.06,62383.28,59976.82,60641.8,55652.18
2024-10-03,60641.8,61478.71,59846.16,60746.35,50457.09
2024-10-04,60746.35,62480.52,60458.33,62094.06,38904.7
2024-10-05,62094.06,62377.77,61689.84,62059.19,10082.43
2024-10-06,62059.19,62976.08,61815.61,62821.76,13418.93
2024-10-07,62821.76,64458.38,62129.23,62209.84,41062.64
2024-10-08,62209.84,63185.68,61832.71,62129.17,33506.88
2024-10-09,62129.17,62513.84,60252.65,60585.22,37528.72
2024-10-10,60585.22,61251.26,58869.24,60280.38,42405.42
2024-10-11,60280.38,63418.56,60039.18,62517.42,36112.65
2024-10-12,62517.42,63469.71,62473.78,63197.03,15673.6
2024-10-13,63197.03,63276.36,62036.49,62854.48,16786.01
2024-10-14,62854.48,66494.04,62438.82,66068.25,50393.51
2024-10-15,66068.25,67938.85,64791.36,67064.69,51909.81
2024-10-16,67064.69,68401.67,66752.45,67614.71,42024.2
2024-10-17,67614.71,67931.28,66643.91,67408.87,32062.99
2024-10-18,67408.87,69016.74,67167.07,68425.63,36869.58
2024-10-19,68425.63,68681.33,68009.42,68370.04,7712.36
2024-10-20,68370.04,69385.31,68094.66,69020.94,11999.25
2024-10-21,69020.94,69501.44,66811.42,67358.14,36536.85
2024-10-22,67358.14,67800.62,66540.7,67390.32,32484.74
2024-10-23,67390.32,67436.29,65171.54,66612.97,32488.79
2024-10-24,66612.97,68812.4,66456.7,68163.56,31715.51
2024-10-25,68163.56,68745.57,65510.53,66577.77,43824.41
2024-10-26,66577.77,67366.46,66343.25,67014.72,14159.11
2024-10-27,67014.72,68254.55,66852.5,67945.14,12105.31
2024-10-28,67945.14,70241.74,67541.0,69925.83,42091.94
2024-10-29,69925.83,73612.24,69725.05,72723.67,58289.36
2024-10-30,72723.67,72945.06,71408.4,72331.96,38392.15
2024-10-31,72331.96,72675.24,69585.02,70207.54,39358.14
2024-11-01,70207.54,71616.01,68755.75,69473.41,49030.12
2024-11-02,69473.41,69884.38,69006.88,69354.01,10811.2
2024-11-03,69354.01,69364.8,67457.91,68747.04,29674.18
2024-11-04,68747.04,69453.56,66793.64,67811.95,43141.35
2024-11-05,67811.95,70540.03,67432.99,69378.09,47211.37
2024-11-06,69378.09,76482.2,69295.92,75643.57,116207.84
2024-11-07,75643.57,76963.92,74472.09,75922.41,58490.52
2024-11-08,75922.41,77289.29,75656.7,76562.31,48629.32
2024-11-09,76562.31,76949.29,75763.57,76716.41,15808.47
2024-11-10,76716.41,81520.53,76545.66,80429.43,57715.18
2024-11-11,80429.43,89644.7,80283.65,88758.31,104407.32
2024-11-12,88758.31,90006.57,85125.04,88040.54,117605.91
2024-11-13,88040.54,93479.86,86252.86,90498.51,124766.84
2024-11-14,90498.51,91817.29,86679.1,87334.19,81846.21
2024-11-15,87334.19,91897.76,87118.43,91058.92,71049.87
2024-11-16,91058.92,91810.87,90092.82,90630.94,27488.76
2024-11-17,90630.94,91436.45,88728.28,89877.16,30966.65
2024-11-18,89877.16,92649.98,87547.97,90514.83,66007.84
2024-11-19,90514.83,94056.9,90414.27,92418.48,64909.54
2024-11-20,92418.48,95056.1,91612.46,94379.92,70180.2
2024-11-21,94379.92,99056.4,94152.97,98436.25,89243.49
2024-11-22,98436.25,99772.99,97207.77,99010.89,74286.51
2024-11-23,99010.89,99023.88,97219.23,97765.04,29017.14
2024-11-24,97765.04,98670.34,95781.2,98018.2,30269.68
2024-11-25,98018.2,98974.51,92592.66,93019.38,68259.16
2024-11-26,93019.38,95007.52,90730.54,91903.89,77087.79
2024-11-27,91903.89,97373.56,91757.22,95957.51,47765.92
2024-11-28,95957.51,96672.28,94677.17,95670.41,24214.5
2024-11-29,95670.41,98735.69,95391.39,97510.92,39884.8
2024-11-30,97510.92,97514.26,96137.13,96473.51,12565.01
2024-12-01,96473.51,97896.77,95752.22,97276.47,17120.23
2024-12-02,97276.47,98219.29,94419.96,95859.75,52454.21
2024-12-03,95859.75,96304.02,93590.91,95928.37,52781.2
2024-12-04,95928.37,99226.36,94663.42,98751.87,59092.55
2024-12-05,98751.87,104028.51,91741.97,97053.82,119875.78
2024-12-06,97053.82,102088.57,96427.0,99897.97,56899.66
2024-12-07,99897.97,100578.8,99025.63,99926.38,17306.94
2024-12-08,99926.38,101430.6,98730.22,101189.81,17851.82
2024-12-09,101189.81,101290.02,94567.01,97338.34,69981.57
2024-12-10,97338.34,98316.66,94284.0,96657.88,68661.05
2024-12-11,96657.88,101979.09,95730.76,101203.07,55047.48
2024-12-12,101203.07,102598.04,99311.56,100041.98,47200.64
2024-12-13,100041.98,101947.1,99232.64,101429.78,34639.86
2024-12-14,101429.78,102653.76,100606.28,101402.95,16577.72
2024-12-15,101402.95,105140.47,101228.16,104424.54,24799.66
2024-12-16,104424.54,107829.08,103299.75,106089.2,60439.19
2024-12-17,106089.2,108369.13,105308.99,106140.14,40879.26
2024-12-18,106140.14,106502.15,99946.11,100147.26,75094.41
2024-12-19,100147.26,102767.84,95555.55,97381.1,80969.49
2024-12-20,97381.1,98131.87,92144.03,97769.49,84967.2
2024-12-21,97769.49,99529.45,96379.46,97223.39,29797.52
2024-12-22,97223.39,97387.01,94186.04,95098.66,29661.75
