date,open,high,low,close,volume
2024-03-31,69629.99,71389.78,69601.39,71312.91,10567.65
2024-04-01,71312.91,71325.61,68074.92,69686.37,28892.19
2024-04-02,69686.37,69703.1,64571.71,65466.81,48905.67
2024-04-03,65466.81,66925.93,64514.87,65986.11,27792.87
2024-04-04,65986.11,69343.32,65081.42,68523.79,36673.5
2024-04-05,68523.79,68772.34,65994.65,67860.53,32904.8
2024-04-06,67860.53,69672.09,67483.82,68913.79,11314.76
2024-04-07,68913.79,70303.08,68877.35,69357.32,13691.75
2024-04-08,69357.32,72750.51,69064.41,71629.36,36459.33
2024-04-09,71629.36,71748.92,68213.24,69129.48,34538.71
2024-04-10,69129.48,71150.5,67480.7,70628.54,37142.44
2024-04-11,70628.54,71297.81,69558.05,70026.43,24988.45
2024-04-12,70026.43,71246.69,65257.57,67158.3,49331.17
2024-04-13,67158.3,68422.6,61079.47,64021.36,56915.71
2024-04-14,64021.36,65874.88,62229.8,65765.64,40968.04
2024-04-15,65765.64,66902.94,62328.07,63447.27,40978.19
2024-04-16,63447.27,64385.46,61667.72,63824.7,35542.55
2024-04-17,63824.7,64503.77,59682.79,61283.74,41504.19
2024-04-18,61283.74,64181.25,60829.27,63511.2,31452.84
2024-04-19,63511.2,65491.94,59607.49,63848.26,46058.39
2024-04-20,63848.26,65453.07,63140.68,64979.21,13464.03
2024-04-21,64979.21,65724.22,64271.77,64955.82,13150.64
2024-04-22,64955.82,67257.68,64536.42,66854.24,22839.75
2024-04-23,66854.24,67211.15,65835.93,66415.06,17575.6
2024-04-24,66415.06,67067.52,63556.97,64263.95,28785.93
2024-04-25,64263.95,65279.7,62759.65,64488.49,26730.52
2024-04-26,64488.49,64795.15,63307.56,63750.63,19914.4
2024-04-27,63750.63,63904.85,62408.97,63434.44,12684.85
2024-04-28,63434.44,64335.08,62769.01,63111.34,10104.62
2024-04-29,63111.34,64192.54,61768.51,63847.54,21849.86
2024-04-30,63847.54,64721.13,59097.29,60633.97,41212.82
